RTT,Processing-Delay,Network_Delay,Server-to-Browser-Delay,Total-Frames-Processed,Total-Frames-Received
0.09114623069763184,0.044316768646240234,0.0468294620513916,0.07004570960998535,4271,4271
0.0906684398651123,0.044739484786987305,0.045928955078125,0.06965065002441406,4272,4272
0.09060430526733398,0.044474124908447266,0.04613018035888672,0.06941461563110352,4273,4273
0.08807253837585449,0.04306364059448242,0.04500889778137207,0.06688904762268066,4274,4274
0.09671902656555176,0.04693174362182617,0.049787282943725586,0.0757591724395752,4275,4275
0.08825492858886719,0.04271411895751953,0.045540809631347656,0.0667262077331543,4276,4276
0.08979105949401855,0.045908212661743164,0.04388284683227539,0.06885051727294922,4277,4277
0.091827392578125,0.045079708099365234,0.046747684478759766,0.07091975212097168,4278,4278
0.08855581283569336,0.04296469688415527,0.045591115951538086,0.06639957427978516,4279,4279
0.08776164054870605,0.04431295394897461,0.043448686599731445,0.06678175926208496,4280,4280
